ticker,base,quote,exchange,price,ask,bid,spread,volume
gxs-btc,gxs,btc,binance,0.0001468,0.000147,0.0001466,3.999999999999826e-07,282843.06
gxs-eth,gxs,eth,binance,0.005403,0.005456,0.005401,5.4999999999999494e-05,35216.63
neo-usd,neo,usd,binance,9.848,9.859,9.841,0.018000000000000682,1001324.114
neo-bnb,neo,bnb,binance,0.467,0.469,0.468,0.0009999999999999454,52878.476
poe-btc,poe,btc,binance,6e-07,6e-07,5.9e-07,1.000000000000001e-08,58484728.0
poe-eth,poe,eth,binance,2.207e-05,2.202e-05,2.17e-05,3.200000000000003e-07,4646924.0
qsp-btc,qsp,btc,binance,3.07e-06,3.08e-06,3.07e-06,1.0000000000000328e-08,52164192.0
qsp-eth,qsp,eth,binance,0.0001132,0.00011392,0.00011272,1.1999999999999885e-06,5246737.0
qsp-bnb,qsp,bnb,binance,0.001037,0.001053,0.001041,1.1999999999999858e-05,2863444.0
bts-btc,bts,btc,binance,7.81e-06,7.82e-06,7.8e-06,1.999999999999981e-08,5366105.0
bts-eth,bts,eth,binance,0.00029032,0.00029016,0.00028681,3.35e-06,290718.0
bts-bnb,bts,bnb,binance,0.00267,0.00268,0.00265,3.000000000000008e-05,301484.2
xzc-btc,xzc,btc,binance,0.000958,0.000958,0.000954,3.999999999999989e-06,36971.47
xzc-eth,xzc,eth,binance,0.034989,0.035826,0.034986,0.0008399999999999935,4723.61
xzc-bnb,xzc,bnb,binance,0.324,0.327,0.325,0.0020000000000000018,5638.425
lsk-btc,lsk,btc,binance,0.0002801,0.0002805,0.00028,5.000000000000122e-07,314516.43
lsk-eth,lsk,eth,binance,0.010377,0.010371,0.010293,7.799999999999994e-05,17697.83
lsk-bnb,lsk,bnb,binance,0.0946,0.0964,0.0948,0.0016000000000000042,23320.73
tnt-btc,tnt,btc,binance,2.28e-06,2.29e-06,2.28e-06,9.999999999999904e-09,48626086.0
tnt-eth,tnt,eth,binance,8.427e-05,8.508e-05,8.384e-05,1.2400000000000085e-06,3738937.0
fuel-btc,fuel,btc,binance,1.08e-06,1.09e-06,1.08e-06,9.999999999999904e-09,251712659.0
fuel-eth,fuel,eth,binance,3.986e-05,4.006e-05,3.987e-05,1.899999999999965e-07,53016424.0
mana-btc,mana,btc,binance,6.96e-06,6.96e-06,6.95e-06,9.999999999999904e-09,12565916.0
mana-eth,mana,eth,binance,0.0002564,0.00025793,0.00025541,2.519999999999996e-06,1251037.0
bcd-btc,bcd,btc,binance,0.000133,0.000134,0.000133,9.999999999999972e-07,346583.847
bcd-eth,bcd,eth,binance,0.00495,0.00495,0.00491,4.0000000000000105e-05,51145.757
dgd-btc,dgd,btc,binance,0.005043,0.005041,0.005035,5.999999999999929e-06,38828.717
dgd-eth,dgd,eth,binance,0.18619,0.18669,0.18553,0.0011599999999999944,3335.463
iota-bnb,iota,bnb,binance,0.01478,0.01489,0.01478,0.00011000000000000072,755644.4
adx-btc,adx,btc,binance,1.801e-05,1.807e-05,1.796e-05,1.1000000000000064e-07,3548876.0
adx-eth,adx,eth,binance,0.0006751,0.0006681,0.0006592,8.900000000000054e-06,156492.0
adx-bnb,adx,bnb,binance,0.00615,0.00619,0.00613,6.000000000000016e-05,338320.4
ada-btc,ada,btc,binance,1.057e-05,1.058e-05,1.056e-05,1.999999999999981e-08,388890267.0
ada-eth,ada,eth,binance,0.00039088,0.0003908,0.00038841,2.3900000000000093e-06,17235412.0
ppt-btc,ppt,btc,binance,0.0001512,0.0001512,0.0001505,6.999999999999899e-07,205930.71
ppt-eth,ppt,eth,binance,0.005555,0.005565,0.005544,2.0999999999999318e-05,34864.67
cmt-btc,cmt,btc,binance,4.62e-06,4.63e-06,4.61e-06,1.999999999999981e-08,12464985.0
cmt-eth,cmt,eth,binance,0.00017101,0.00017109,0.00016958,1.509999999999977e-06,2281216.0
cmt-bnb,cmt,bnb,binance,0.00156,0.00159,0.00157,2.0000000000000052e-05,2114799.2
xlm-btc,xlm,btc,binance,1.439e-05,1.439e-05,1.437e-05,1.999999999999981e-08,61504754.0
xlm-eth,xlm,eth,binance,0.00052816,0.00053057,0.00052821,2.3599999999999706e-06,5620020.0
xlm-bnb,xlm,bnb,binance,0.0049,0.00492,0.0049,2.0000000000000052e-05,4992633.0
cnd-btc,cnd,btc,binance,2.31e-06,2.31e-06,2.3e-06,9.999999999999904e-09,17302187.0
cnd-eth,cnd,eth,binance,8.532e-05,8.574e-05,8.371e-05,2.030000000000006e-06,2145078.0
cnd-bnb,cnd,bnb,binance,0.000787,0.000792,0.000787,4.999999999999905e-06,3836432.0
lend-btc,lend,btc,binance,1.08e-06,1.08e-06,1.07e-06,1.0000000000000116e-08,56079157.0
lend-eth,lend,eth,binance,4.035e-05,4.01e-05,3.938e-05,7.199999999999999e-07,3289450.0
wabi-btc,wabi,btc,binance,4.433e-05,4.442e-05,4.418e-05,2.399999999999977e-07,5984362.0
wabi-eth,wabi,eth,binance,0.00164093,0.00163943,0.00162639,1.3040000000000187e-05,305279.0
wabi-bnb,wabi,bnb,binance,0.01517,0.01525,0.01507,0.0001799999999999996,403476.9
ltc-eth,ltc,eth,binance,0.45466,0.45638,0.45345,0.002929999999999988,19741.311
ltc-usd,ltc,usd,binance,88.39,88.54,88.42,0.12000000000000455,923430.46533
ltc-bnb,ltc,bnb,binance,4.21,4.22,4.2,0.019999999999999574,51925.22048
tnb-btc,tnb,btc,binance,6.2e-07,6.3e-07,6.2e-07,1.000000000000001e-08,215881438.0
tnb-eth,tnb,eth,binance,2.336e-05,2.329e-05,2.286e-05,4.299999999999976e-07,10563544.0
waves-btc,waves,btc,binance,0.0003434,0.0003436,0.0003434,2.0000000000000486e-07,15295357.55
waves-eth,waves,eth,binance,0.012604,0.012655,0.012615,4.0000000000000105e-05,589164.62
waves-bnb,waves,bnb,binance,0.1172,0.1173,0.1167,0.0006000000000000033,35997.39
gto-btc,gto,btc,binance,3.6e-06,3.61e-06,3.6e-06,1.0000000000000328e-08,15133950.0
gto-eth,gto,eth,binance,0.00013416,0.00013453,0.0001323,2.230000000000011e-06,977701.0
gto-bnb,gto,bnb,binance,0.00123,0.00124,0.00122,2.0000000000000052e-05,1000705.4
icx-btc,icx,btc,binance,4.85e-05,4.85e-05,4.84e-05,1.0000000000000243e-07,8981456.04
icx-eth,icx,eth,binance,0.001793,0.001794,0.001781,1.299999999999999e-05,633043.7
icx-bnb,icx,bnb,binance,0.01653,0.01663,0.01644,0.0001899999999999992,684488.8
ost-btc,ost,btc,binance,2.99e-06,3e-06,2.99e-06,9.999999999999904e-09,8995636.0
ost-eth,ost,eth,binance,0.00011124,0.00011202,0.00010954,2.4800000000000034e-06,638199.0
ost-bnb,ost,bnb,binance,0.001034,0.001042,0.00102,2.1999999999999884e-05,529157.0
elf-btc,elf,btc,binance,2.312e-05,2.323e-05,2.314e-05,9.000000000000083e-08,4162163.0
elf-eth,elf,eth,binance,0.00085943,0.00085932,0.0008518,7.520000000000009e-06,611929.0
aion-btc,aion,btc,binance,2.97e-05,2.99e-05,2.97e-05,1.9999999999999809e-07,10915139.97
aion-eth,aion,eth,binance,0.0011,0.0011,0.001094,6.000000000000146e-06,1228298.27
aion-bnb,aion,bnb,binance,0.01015,0.0102,0.01011,9.000000000000154e-05,891649.5
nebl-btc,nebl,btc,binance,0.0001812,0.0001823,0.0001814,9.000000000000219e-07,218434.26
nebl-eth,nebl,eth,binance,0.006713,0.006735,0.006636,9.899999999999926e-05,20468.22
nebl-bnb,nebl,bnb,binance,0.0612,0.063,0.06177,0.001230000000000002,41219.2
brd-btc,brd,btc,binance,6.387e-05,6.375e-05,6.371e-05,4.000000000000639e-08,414475.0
brd-eth,brd,eth,binance,0.0023111,0.0023686,0.0023171,5.1499999999999897e-05,42438.0
brd-bnb,brd,bnb,binance,0.02133,0.02198,0.02169,0.0002899999999999986,118802.4
mco-bnb,mco,bnb,binance,0.23006,0.23399,0.232,0.0019899999999999918,10146.5
edo-btc,edo,btc,binance,8.01e-05,8.03e-05,8.01e-05,2.0000000000000486e-07,291809.64
edo-eth,edo,eth,binance,0.002946,0.00297,0.002947,2.3000000000000017e-05,58116.17
wings-btc,wings,btc,binance,0.0,0.0,0.0,0.0,0.0
